label,smarts,count
[Nar],[#0],130355
O=[C]([R])[N]([R])[R],[#0:1]-[#7](-[#6](=[#8])-[#0:2])-[#0:3],127507
[R][O][R],[#0:1]-[#8]-[#0:2],83826
[R][N]([R])[R],[#0:1]-[#7](-[#0:2])-[#0:3],51402
[F][R],[#0:1]-[#9],36437
[Oar],[#0],33713
[Sar],[#0],33374
[Cl][R],[#0:1]-[#17],28511
[O]=[Car],[#0:1]=[#8],26070
O=[S](=O)([R])[N]([R])[R],[#0:1]-[#16](=[#8])(=[#8])-[#7](-[#0:2])-[#0:3],24052
[R][NH][R],[#0:1]-[#7]-[#0:2],17635
[R][S][R],[#0:1]-[#16]-[#0:2],16987
[OH][Cal],[#0:1]-[#8],16575
O=C([N]([R])[R])[N]([R])[R],[#7](-[#6](=[#8])-[#7](-[#0:1])-[#0:4])(-[#0:2])-[#0:3],15505
O=[C]([R])[O][R],[#0:1]-[#6](=[#8])-[#8]-[#0:2],12336
O=[C]([R])[R],[#0:1]-[#6](=[#8])-[#0:2],10296
[R][Br],[#0:1]-[#35],9840
[OH][Car],[#8]-[#0:1],9369
C#N,[#6H]#[#7],8003
O=[C](O)[R],[#0:1]-[#6](=[#8])-[#8],6644
O=[S](=O)([R])[R],[#0:1]-[#16](=[#8])(=[#8])-[#0:2],6426
C=C,[#6]=[#6H],5878
[NH2][Car],[#0:1]-[#7],5138
[R][O]C[O][R],[#6H2](-[#8]-[#0:1])-[#8]-[#0:2],4841
O=C([O][R])[N]([R])[R],[#0:1]-[#7](-[#0:2])-[#6](=[#8])-[#8]-[#0:3],3132
[NH2][Cal],[#7]-[#0:1],2886
O=[N+]([O-])[R],[#0:1]-[#7+](=[#8])-[#8-],2654
C=N[N]([R])[C](=O)[R],[#0:1]-[#6](=[#8])-[#7](-[#7]=[#6H])-[#0:2],2245
O=[C]1[R][N]([R])C(=O)[N]1[R],[#8]=[#6]1-[#7](-[#6](=[#8])-[#0:1]-[#7]-1-[#0:3])-[#0:2],1608
O=[C]([R])[N]([R])[C](=O)[R],[#0:1]-[#7](-[#6](=[#8])-[#0:2])-[#6](-[#0:3])=[#8],1510
C#C,[#6H]#[#6H],1231
C=[N][R],[#6H]=[#7]-[#0:1],1139
[R][I],[#0:1]-[#53],930
O=[C]([R])[N]([R])C(=O)[N]([R])[R],[#0:1]-[#7](-[#6](=[#8])-[#7](-[#6](=[#8])-[#0:2])-[#0:4])-[#0:3],921
C=C[C](=O)[R],[#0:1]-[#6](=[#8])-[#6]=[#6H],795
C=N[N]([R])[R],[#0:1]-[#7](-[#0:2])-[#7]=[#6H2],710
C=CC(=O)[N]([R])[R],[#6H]=[#6H]-[#6](=[#8])-[#7](-[#0:1])-[#0:2],709
O=[C]([R])[N]([R])[S](=O)(=O)[R],[#0:1]-[#6](=[#8])-[#7](-[#16](=[#8])(=[#8])-[#0:2])-[#0:3],691
C=CC(=O)[O][R],[#6H]=[#6]-[#6](=[#8])-[#8]-[#0:1],633
O=S(=O)([N]([R])[R])[N]([R])[R],[#0:1]-[#7](-[#0:2])-[#16](=[#8])(=[#8])-[#7](-[#0:3])-[#0:4],623
O=[C]([R])C=C(O)C(=O)[N]([R])[R],[#0:1]-[#6](=[#8])-[#6H]=[#6](-[#8])-[#6](=[#8])-[#7](-[#0:2])-[#0:3],613
[R][N]=[Car],[#0:1]=[#7]-[#0:2],485
O=[C]([R])[N]([R])[O][R],[#0:1]-[#6](=[#8])-[#7](-[#0:2])-[#8]-[#0:3],468
[Nar+],[#0],430
O=[CH][R],[#0:1]-[#6]=[#8],414
C=N[O][R],[#6H2]=[#7]-[#8]-[#0:1],392
O=[C]([R])[N]([R])[N]([R])[R],[#0:1]-[#7](-[#0:2])-[#7](-[#0:3])-[#6](=[#8])-[#0:4],345
[R][N]=C([N]([R])[R])[N]([R])[R],[#7](=[#6](-[#7](-[#0:1])-[#0:4])-[#7](-[#0:2])-[#0:5])-[#0:3],344
O=[S]([R])[R],[#0:1]-[#16](=[#8])-[#0:2],324
O=C(C(=O)[N]([R])[R])[N]([R])[R],[#0:1]-[#7](-[#6](=[#8])-[#6](=[#8])-[#7](-[#0:2])-[#0:4])-[#0:3],300
C=CC(=O)O,[#6H2]=[#6H]-[#6](=[#8])-[#8],265
OC[O][R],[#0:1]-[#8]-[#6H2]-[#8],258
O=C(C=N[N]([R])[C](=O)[R])[N]([R])[R],[#0:1]-[#7](-[#6](=[#8])-[#6H]=[#7]-[#7](-[#6](=[#8])-[#0:2])-[#0:4])-[#0:3],254
O=[S](=O)([R])N=C[N]([R])[R],[#0:1]-[#7](-[#6H]=[#7]-[#16](=[#8])(=[#8])-[#0:2])-[#0:3],244
[R][N+]([R])([R])[R],[#0:1]-[#7+](-[#0:2])(-[#0:3])-[#0:4],238
O=[C]([R])[Nar],[#7]-[#6](=[#8])-[#0:1],236
O=[C]([R])[N]([R])C[S][R],[#0:1]-[#6](=[#8])-[#7](-[#6H2]-[#16]-[#0:2])-[#0:3],224
C1CO1,[#6H]1-[#8]-[#6H]-1,216
O=[C]([R])[N]([R])C[N]([R])[R],[#8]=[#6](-[#7](-[#6H]-[#7](-[#0:1])-[#0:2])-[#0:4])-[#0:3],212
[SH][R],[#0:1]-[#16],211
[R][N]=C[N]([R])[R],[#6H](=[#7]-[#0:1])-[#7](-[#0:2])-[#0:3],208
C=NO,[#6H2]=[#7]-[#8],205
[R][N]=C([S][R])[N]([R])[R],[#7](/[#6](=[#7]/[#0:1])-[#16]-[#0:2])(-[#0:3])-[#0:4],199
C=CC(=O)C=C,[#6H]=[#6]-[#6](=[#8])-[#6]=[#6H2],189
O=[C]([R])[N]([R])[Nar],[#0:1]-[#6](=[#8])-[#7](-[#7])-[#0:2],183
O=[C]([R])[N]=[Car],[#0:1]-[#6](=[#8])-[#7]=[#0:2],171
C=N[N]([R])C(=O)C(=O)[N]([R])[R],[#8]=[#6](-[#7](-[#7]=[#6H])-[#0:2])-[#6](=[#8])-[#7](-[#0:1])-[#0:3],168
C=C1SC(=S)[N]([R])C1=O,[#6H]=[#6]1-[#16]-[#6](=[#16])-[#7](-[#0:1])-[#6]-1=[#8],167
O=[S](=O)([R])[O][R],[#0:1]-[#8]-[#16](=[#8])(=[#8])-[#0:2],159
[R][N]([R])[Nar],[#7]-[#7](-[#0:1])-[#0:2],156
O=[C]([R])[N]([R])[N]([R])[C](=O)[R],[#8]=[#6](-[#7](-[#7](-[#6](=[#8])-[#0:1])-[#0:4])-[#0:3])-[#0:2],153
O=[C]([R])C=C[N]([R])[R],[#0:1]-[#6](=[#8])-[#6H]=[#6H]-[#7](-[#0:2])-[#0:3],151
O=[S](=O)([R])[Nar],[#7]-[#16](-[#0:1])(=[#8])=[#8],151
C=C[N]([R])[C](=O)[R],[#0:1]-[#6](=[#8])-[#7](-[#6H]=[#6H])-[#0:2],147
S=C([N]([R])[R])[N]([R])[R],[#0:1]-[#7](-[#6](=[#16])-[#7](-[#0:2])-[#0:4])-[#0:3],146
[R][N]=[N][R],[#0:1]/[#7]=[#7]/[#0:2],144
[R][S]C[S][R],[#0:1]-[#16]-[#6]-[#16]-[#0:2],143
O=[C]([R])[N]([R])C(=S)[N]([R])[R],[#0:1]-[#6](=[#8])-[#7](-[#6](=[#16])-[#7](-[#0:2])-[#0:4])-[#0:3],138
O=C(C1=CC=NS(=O)(=O)[N]1[R])[N]([R])[R],[#0:1]-[#7](-[#6](=[#8])-[#6]1=[#6]-[#6H]=[#7]-[#16](=[#8])(=[#8])-[#7]-1-[#0:2])-[#0:3],138
O=C(C=C[N]([R])C(=O)[N]([R])[R])[O][R],[#0:1]-[#8]-[#6](=[#8])-[#6H]=[#6H]-[#7](-[#6](=[#8])-[#7](-[#0:2])-[#0:4])-[#0:3],135
C=CC=C,[#6](=[#6H])-[#6]=[#6H],134
[S]=[Car],[#0:1]=[#16],124
O=[C]([R])C=C[N]([R])C=CC(=O)[O][R],[#6H](=[#6H]-[#6](=[#8])-[#8]-[#0:1])-[#7](-[#6H]=[#6H]-[#6](-[#0:2])=[#8])-[#0:3],122
[N-]=[N+]=[N][R],[#7-]=[#7+]=[#7]-[#0:1],120
O=[S](=O)(O)[R],[#0:1]-[#16](=[#8])(=[#8])-[#8],116
O=[C]([R])[N]([R])C(=[N][R])[S][R],[#0:1]/[#7]=[#6](\[#16]-[#0:2])-[#7](-[#6](-[#0:3])=[#8])-[#0:4],116
[R][N]([R])C[N]([R])[R],[#6H](-[#7](-[#0:1])-[#0:2])-[#7](-[#0:3])-[#0:4],113
[R][N]([R])[N]([R])[R],[#0:1]-[#7](-[#7](-[#0:3])-[#0:4])-[#0:2],108
[O-][S+]([R])[R],[#8-]-[#16+](-[#0:1])-[#0:2],107
[O-][Nar+],[#7+]-[#8-],106
O=[C]([R])[N](O)[R],[#0:1]-[#6](=[#8])-[#7](-[#8])-[#0:2],103
O=C(C=C[N]([R])C(=O)[N]([R])[R])[N]([R])[R],[#0:1]-[#7](-[#0:2])-[#6](-[#6H]=[#6H]-[#7](-[#6](-[#7](-[#0:3])-[#0:4])=[#8])-[#0:5])=[#8],100
O=[C]([R])[N]([R])C[O][R],[#0:1]-[#8]-[#6H]-[#7](-[#6](=[#8])-[#0:2])-[#0:3],99
O=C([S][R])[N]([R])[R],[#0:2]-[#16]-[#6](=[#8])-[#7](-[#0:1])-[#0:3],95
[R][N]=N[N]([R])[R],[#0:1]-[#7](/[#7]=[#7]/[#0:2])-[#0:3],94
O=[C]([R])C(=C[N]([R])[R])[C](=O)[R],[#0:1]-[#6](=[#8])-[#6](=[#6]-[#7](-[#0:2])-[#0:4])-[#6](=[#8])-[#0:3],93
O=C(C=C[N]([R])[R])[N]([R])[R],[#6H](=[#6]-[#6](=[#8])-[#7](-[#0:1])-[#0:3])-[#7](-[#0:2])-[#0:4],92
O=[C]([R])OC[O][R],[#0:1]-[#8]-[#6H2]-[#8]-[#6](=[#8])-[#0:2],89
O=[C]([R])[S][R],[#0:1]-[#6](=[#8])-[#16]-[#0:2],88
S=C[N]([R])[R],[#7](-[#6H]=[#16])(-[#0:1])-[#0:2],86
O=[C]1[R][S]C[N]1[R],[#8]=[#6]1-[#0:1]-[#16]-[#6H]-[#7]-1-[#0:2],86
[R][O][Si]([R])([R])[R],[#0:1]-[#8]-[Si](-[#0:2])(-[#0:3])-[#0:4],85
[R][O][N]([R])[R],[#0:1]-[#8]-[#7](-[#0:2])-[#0:3],84
C=C[S](=O)(=O)[R],[#6H]=[#6]-[#16](=[#8])(=[#8])-[#0:1],84
O=[P](O)(O)[R],[#0:1]-[#15](=[#8])(-[#8])-[#8],82
O=C(C(=C[O][R])[O][R])[N]([R])[R],[#0:1]-[#7](-[#0:2])-[#6](=[#8])-[#6](=[#6]-[#8]-[#0:3])-[#8]-[#0:4],80
[R][O]N=C[N]([R])[R],[#0:1]-[#8]/[#7]=[#6H]\[#7](-[#0:2])-[#0:3],79
C=[N][Nar],[#7]-[#7]=[#6H2],77
O=[C]([R])[N]([R])N1[C](=O)[R][N]([R])C1=O,[#0:1]1-[#7](-[#6](=[#8])-[#7](-[#7](-[#6](=[#8])-[#0:2])-[#0:4])-[#6]-1=[#8])-[#0:3],75
O=[C]1N=C([N]([R])[R])[S][R]1,[#0:1]1-[#16]-[#6](-[#7](-[#0:2])-[#0:3])=[#7]-[#6]-1=[#8],75
O=[P]([R])([O][R])[O][R],[#0:1]-[#8]-[#15](=[#8])(-[#8]-[#0:2])-[#0:3],73
C=C1SC(=O)[N]([R])C1=O,[#6H]=[#6]1-[#16]-[#6](=[#8])-[#7](-[#0:1])-[#6]-1=[#8],73
O=C[N]([R])[R],[#0:2]-[#7](-[#6]=[#8])-[#0:1],72
[R][S][S][R],[#0:1]-[#16]-[#16]-[#0:2],70
O=C(C=N[O][R])[N]([R])[R],[#0:1]-[#8]/[#7]=[#6H]\[#6](=[#8])-[#7](-[#0:2])-[#0:3],68
O=[C]([R])[N]([R])C[N]([R])[C](=O)[R],[#0:1]-[#6](=[#8])-[#7](-[#0:2])-[#6H2]-[#7](-[#6](-[#0:3])=[#8])-[#0:4],68
O=[C]([R])[N]([R])C[N]([R])C(=S)[N]([R])[R],[#0:1]-[#6](=[#8])-[#7](-[#6H]-[#7](-[#6](=[#16])-[#7](-[#0:2])-[#0:5])-[#0:4])-[#0:3],65
C=N[N]([R])C(=S)[N]([R])[R],[#6H2]=[#7]-[#7](-[#6](=[#16])-[#7](-[#0:1])-[#0:3])-[#0:2],65
O=[C]1C=C([N]([R])[R])[N]([R])[R]1,[#0:1]1-[#6](=[#8])-[#6H]=[#6](-[#7](-[#0:3])-[#0:4])-[#7]-1-[#0:2],64
[R][N]=C([S][R])[S][R],[#0:1]-[#16]-[#6](=[#7]-[#0:2])-[#16]-[#0:3],62
O=[C]1[R][S]C(=[N][R])[N]1[R],[#0:1]/[#7]=[#6]1/[#16]-[#0:2]-[#6](=[#8])-[#7]-1-[#0:3],62
O=C([N]([R])[R])[N]([R])[O][R],[#0:1]-[#7](-[#6](=[#8])-[#7](-[#0:2])-[#8]-[#0:3])-[#0:4],60
C=C1N=COC1=O,[#6H]1=[#7]-[#6](=[#6H])-[#6](=[#8])-[#8]-1,60
C=CC=C[C](=O)[R],[#0:1]-[#6](=[#8])-[#6H]=[#6]-[#6]=[#6H],59
O=P(O)(O)[O][R],[#0:1]-[#8]-[#15](=[#8])(-[#8])-[#8],59
O=C(C=C[N]([R])[R])[O][R],[#6H](-[#7](-[#0:2])-[#0:3])=[#6]-[#6](=[#8])-[#8]-[#0:1],59
O=[C]([R])N=C([S][R])[N]([R])[R],[#0:1]-[#6](=[#8])/[#7]=[#6](/[#16]-[#0:2])-[#7](-[#0:3])-[#0:4],59
[R][O]C[N]([R])[R],[#6H2](-[#7](-[#0:1])-[#0:3])-[#8]-[#0:2],57
C#C[Si]([R])([R])[R],[#0:1]-[Si](-[#0:2])(-[#0:3])-[#6]#[#6H],55
O=[S](=O)([R])[N]([R])[O][R],[#0:1]-[#16](=[#8])(=[#8])-[#7](-[#0:2])-[#8]-[#0:3],55
C=NN=C([S][R])[N]([R])[R],[#6H2]=[#7]-[#7]=[#6](-[#7](-[#0:1])-[#0:3])-[#16]-[#0:2],54
FC(F)([O][R])[O][R],[#0:2]-[#8]-[#6](-[#9])(-[#9])-[#8]-[#0:1],53
O=[C]([O-])[R],[#0:1]-[#6](=[#8])-[#8-],52
C=N[N]([R])[S](=O)(=O)[R],[#6H2]=[#7]-[#7](-[#16](-[#0:1])(=[#8])=[#8])-[#0:2],52
C=C[N]([R])[R],[#6H]=[#6H]-[#7](-[#0:1])-[#0:2],51
O=C([N]([R])[R])[N]([R])[S](=O)(=O)[R],[#0:1]-[#16](=[#8])(=[#8])-[#7](-[#6](-[#7](-[#0:3])-[#0:4])=[#8])-[#0:2],51
C=CC#N,[#6H]=[#6]-[#6]#[#7],50
O=[C]([R])C=CO,[#6H](=[#6H]-[#8])-[#6](-[#0:1])=[#8],49
O=[C]([R])C(=O)[N]([R])[R],[#0:1]-[#6](=[#8])-[#6](=[#8])-[#7](-[#0:2])-[#0:3],49
[R][O]C[S][R],[#0:1]-[#16]-[#6H2]-[#8]-[#0:2],47
O=C(C=N[N]([R])[R])[N]([R])[R],[#0:1]-[#7](-[#6](=[#8])/[#6H]=[#7]/[#7](-[#0:2])-[#0:4])-[#0:3],47
O=C1C=CC(=O)[N]1[R],[#0:1]-[#7]1-[#6](=[#8])-[#6]=[#6]-[#6]-1=[#8],46
C=N[N]([R])C(=O)[N]([R])[R],[#6H2]=[#7]-[#7](-[#6](-[#7](-[#0:2])-[#0:3])=[#8])-[#0:1],46
C=NN=C,[#6H]=[#7]-[#7]=[#6H2],45
O=[C]([R])[O][Na],[#0:1]-[#6](=[#8])-[#8]-[Na],44
O=[S](=O)([R])[N]([R])C=[N][R],[#6H](=[#7]-[#0:1])-[#7](-[#16](-[#0:2])(=[#8])=[#8])-[#0:3],43
C=C(C(=O)O)N(C[S][R])[C](=O)[R],[#0:1]-[#6](=[#8])-[#7](-[#6](-[#6](=[#8])-[#8])=[#6H2])-[#6H2]-[#16]-[#0:2],42
O=[S](=O)([R])[N]([R])C[O][R],[#0:1]-[#16](=[#8])(=[#8])-[#7](-[#0:2])-[#6H]-[#8]-[#0:3],42
