label,inferred_smarts,llm_output
[Nar],n,aromatic nitrogen
O=[C]([R])[N]([R])[R],O=C(*)N(*)*,amide
[R][O][R],*O*,benzene ring
[R][N]([R])[R],*N(*)*,nitrogen with two substituents
[F][R],F*,fluorine
[Oar],o,furan oxygen
[Sar],s,aromatic sulfur
[Cl][R],Cl*,chlorine single bond
[O]=[Car],O=c,aromatic carbonyl
O=[S](=O)([R])[N]([R])[R],O=S(=O)(*)N(*)*,sulfonamide
[R][NH][R],*[N&H1]*,aromatic nitroso group
[R][S][R],*S*,sulfide
[OH][Cal],[O&H1]C,hydroxy group
O=C([N]([R])[R])[N]([R])[R],O=C(N(*)*)N(*)*,urea
O=[C]([R])[O][R],O=C(*)O*,ester or carboxylic acid
O=[C]([R])[R],O=C(*)*,carbonyl
[R][Br],*Br,bromine
[OH][Car],[O&H1]c,aromatic hydroxy
C#N,C#N,nitrile
O=[C](O)[R],O=C(O)*,carboxylic acid
O=[S](=O)([R])[R],O=S(=O)(*)*,sulfonyl group
C=C,C=C,alkene
[NH2][Car],[N&H2]c,primary aromatic amine
[R][O]C[O][R],*OCO*,acetal group
O=C([O][R])[N]([R])[R],O=C(O*)N(*)*,n-n-disubstituted carbamate
[NH2][Cal],[N&H2]C,primary amine
O=[N+]([O-])[R],O=[N&+]([O&-])*,nitro
C=N[N]([R])[C](=O)[R],C=NN(*)C(=O)*,acylhydrazone
O=[C]1[R][N]([R])C(=O)[N]1[R],O=C1*N(*)C(=O)N1*,hydantoin etc
O=[C]([R])[N]([R])[C](=O)[R],O=C(*)N(*)C(=O)*,imide
C#C,C#C,triple bond
C=[N][R],C=N*,imine
[R][I],*I,alkyl iodide
O=[C]([R])[N]([R])C(=O)[N]([R])[R],O=C(*)N(*)C(=O)N(*)*,acylurea
C=C[C](=O)[R],C=CC(=O)*,"α,β-unsaturated carbonyls"
C=N[N]([R])[R],C=NN(*)*,hydrazone
C=CC(=O)[N]([R])[R],C=CC(=O)N(*)*,acrylamides
O=[C]([R])[N]([R])[S](=O)(=O)[R],O=C(*)N(*)S(=O)(=O)*,acyl sulfonamide
C=CC(=O)[O][R],C=CC(=O)O*,acrylates and similar
O=S(=O)([N]([R])[R])[N]([R])[R],O=S(=O)(N(*)*)N(*)*,sulfamide
O=[C]([R])C=C(O)C(=O)[N]([R])[R],O=C(*)C=C(O)C(=O)N(*)*,beta keto amide enol
[R][N]=[Car],*N=c,aryl imine
O=[C]([R])[N]([R])[O][R],O=C(*)N(*)O*,n-hydroxy amide
[Nar+],[n&+],heteroaromatic cation
O=[CH][R],O=[C&H1]*,aldehyde
C=N[O][R],C=NO*,oxime
O=[C]([R])[N]([R])[N]([R])[R],O=C(*)N(*)N(*)*,acyl hydrazine
[R][N]=C([N]([R])[R])[N]([R])[R],*N=C(N(*)*)N(*)*,guanidine
O=[S]([R])[R],O=S(*)*,sulfoxide
O=C(C(=O)[N]([R])[R])[N]([R])[R],O=C(C(=O)N(*)*)N(*)*,oxalamide
C=CC(=O)O,C=CC(=O)O,"α, β-unsaturated carboxylic acids"
OC[O][R],OCO*,acetal
O=C(C=N[N]([R])[C](=O)[R])[N]([R])[R],O=C(C=NN(*)C(=O)*)N(*)*,pyridazinone carboxamide
O=[S](=O)([R])N=C[N]([R])[R],O=S(=O)(*)N=CN(*)*,sulfonyl guanidine
[R][N+]([R])([R])[R],*[N&+](*)(*)*,quaternary nitrogen
O=[C]([R])[Nar],O=C(*)n,heterocyclic carbonyl adjacent to nitrogen
O=[C]([R])[N]([R])C[S][R],O=C(*)N(*)CS*,n-alkylthio amide
C1CO1,C1CO1,epoxides
O=[C]([R])[N]([R])C[N]([R])[R],O=C(*)N(*)CN(*)*,tertiary amide methylene tertiary amine
[SH][R],[S&H1]*,thiol
[R][N]=C[N]([R])[R],*N=CN(*)*,amidine
C=NO,C=NO,oxime
[R][N]=C([S][R])[N]([R])[R],*N=C(S*)N(*)*,thioamidine
C=CC(=O)C=C,C=CC(=O)C=C,divinyl ketone
O=[C]([R])[N]([R])[Nar],O=C(*)N(*)n,heteroaryl amide
O=[C]([R])[N]=[Car],O=C(*)N=c,heteroaryl alpha carbonyl
C=N[N]([R])C(=O)C(=O)[N]([R])[R],C=NN(*)C(=O)C(=O)N(*)*,oxamide hydrazone
C=C1SC(=S)[N]([R])C1=O,C=C1SC(=S)N(*)C1=O,rhodanine
O=[S](=O)([R])[O][R],O=S(=O)(*)O*,sulfate or sulfonate
[R][N]([R])[Nar],*N(*)n,n-aminoalkylazole
O=[C]([R])[N]([R])[N]([R])[C](=O)[R],O=C(*)N(*)N(*)C(=O)*,hydrazine dicarbonyl spacer
O=[C]([R])C=C[N]([R])[R],O=C(*)C=CN(*)*,enaminone
O=[S](=O)([R])[Nar],O=S(=O)(*)n,heteroaryl sulfonamide
C=C[N]([R])[C](=O)[R],C=CN(*)C(=O)*,n vinyl amide
S=C([N]([R])[R])[N]([R])[R],S=C(N(*)*)N(*)*,thiourea
[R][N]=[N][R],*N=N*,diazenyl amine
[R][S]C[S][R],*SCS*,dithioacetal
O=[C]([R])[N]([R])C(=S)[N]([R])[R],O=C(*)N(*)C(=S)N(*)*,acyl thiourea
O=C(C1=CC=NS(=O)(=O)[N]1[R])[N]([R])[R],O=C(C1=CC=NS(=O)(=O)N1*)N(*)*,sulfonamide substituted thiadiazine carboxamide
O=C(C=C[N]([R])C(=O)[N]([R])[R])[O][R],O=C(C=CN(*)C(=O)N(*)*)O*,beta ureido acrylate ester
C=CC=C,C=CC=C,diene
[S]=[Car],S=c,thiophene ring
O=[C]([R])C=C[N]([R])C=CC(=O)[O][R],O=C(*)C=CN(*)C=CC(=O)O*,aza-diene dicarbonyl
[N-]=[N+]=[N][R],[N&-]=[N&+]=N*,azide
O=[S](=O)(O)[R],O=S(=O)(O)*,sulfonic acid
O=[C]([R])[N]([R])C(=[N][R])[S][R],O=C(*)N(*)C(=N*)S*,acylaminothioimidate
[R][N]([R])C[N]([R])[R],*N(*)CN(*)*,methylene diamines
[R][N]([R])[N]([R])[R],*N(*)N(*)*,hydrazine derivative
[O-][S+]([R])[R],[O&-][S&+](*)*,sulfonium oxide
[O-][Nar+],[O&-][n&+],aromatic n-oxide
O=[C]([R])[N](O)[R],O=C(*)N(O)*,hydroxamic acid
O=C(C=C[N]([R])C(=O)[N]([R])[R])[N]([R])[R],O=C(C=CN(*)C(=O)N(*)*)N(*)*,enamine linked dicarboxamide
O=[C]([R])[N]([R])C[O][R],O=C(*)N(*)CO*,n-hydroxymethyl amide
O=C([S][R])[N]([R])[R],O=C(S*)N(*)*,thiocarbamate
[R][N]=N[N]([R])[R],*N=NN(*)*,triazene group
O=[C]([R])C(=C[N]([R])[R])[C](=O)[R],O=C(*)C(=CN(*)*)C(=O)*,"1,1-dicarbonyl enamine"
O=C(C=C[N]([R])[R])[N]([R])[R],O=C(C=CN(*)*)N(*)*,enaminone amide
O=[C]([R])OC[O][R],O=C(*)OCO*,acetal ester
O=[C]([R])[S][R],O=C(*)S*,thioester
S=C[N]([R])[R],S=CN(*)*,thioamides
O=[C]1[R][S]C[N]1[R],O=C1*SCN1*,n substituted 4-thiazolidinone
[R][O][Si]([R])([R])[R],*O[#14](*)(*)*,silyl ether
[R][O][N]([R])[R],*ON(*)*,hydroxylamine
C=C[S](=O)(=O)[R],C=CS(=O)(=O)*,vinyl sulfonyl
O=[P](O)(O)[R],O=P(O)(O)*,phosphate dianion
O=C(C(=C[O][R])[O][R])[N]([R])[R],O=C(C(=CO*)O*)N(*)*,enol ether ester amide
[R][O]N=C[N]([R])[R],*ON=CN(*)*,amidoxime group
C=[N][Nar],C=Nn,azole imine
O=[C]([R])[N]([R])N1[C](=O)[R][N]([R])C1=O,O=C(*)N(*)N1C(=O)*N(*)C1=O,n-acyl hydantoin
O=[C]1N=C([N]([R])[R])[S][R]1,O=C1N=C(N(*)*)S*1,thiadiazolones
O=[P]([R])([O][R])[O][R],O=P(*)(O*)O*,phosphate
C=C1SC(=O)[N]([R])C1=O,C=C1SC(=O)N(*)C1=O,para halo pyridinone
O=C[N]([R])[R],O=CN(*)*,amide
[R][S][S][R],*SS*,disulfides
O=C(C=N[O][R])[N]([R])[R],O=C(C=NO*)N(*)*,alpha oximino carboxamide
O=[C]([R])[N]([R])C[N]([R])[C](=O)[R],O=C(*)N(*)CN(*)C(=O)*,methylene diamide
O=[C]([R])[N]([R])C[N]([R])C(=S)[N]([R])[R],O=C(*)N(*)CN(*)C(=S)N(*)*,thiocarboxylic acid
C=N[N]([R])C(=S)[N]([R])[R],C=NN(*)C(=S)N(*)*,thiosemicarbazone
O=[C]1C=C([N]([R])[R])[N]([R])[R]1,O=C1C=C(N(*)*)N(*)*1,pyrazolone ring
[R][N]=C([S][R])[S][R],*N=C(S*)S*,dithioimidate
O=[C]1[R][S]C(=[N][R])[N]1[R],O=C1*SC(=N*)N1*,2-iminothiazolidin-4-ones
O=C([N]([R])[R])[N]([R])[O][R],O=C(N(*)*)N(*)O*,hydroxyurea derivative
C=C1N=COC1=O,C=C1N=COC1=O,4 alkylidene oxazol 5 one
C=CC=C[C](=O)[R],C=CC=CC(=O)*,diene carbonyl
O=P(O)(O)[O][R],O=P(O)(O)O*,phosphoric acid or ester
O=C(C=C[N]([R])[R])[O][R],O=C(C=CN(*)*)O*,enamine ester
O=[C]([R])N=C([S][R])[N]([R])[R],O=C(*)N=C(S*)N(*)*,acyl thioformamidine
[R][O]C[N]([R])[R],*OCN(*)*,tertiary aminomethyl ether
C#C[Si]([R])([R])[R],C#C[#14](*)(*)*,silyl alkyne
O=[S](=O)([R])[N]([R])[O][R],O=S(=O)(*)N(*)O*,n-oxy sulfonamide
C=NN=C([S][R])[N]([R])[R],C=NN=C(S*)N(*)*,thioether-substituted hydrazone
FC(F)([O][R])[O][R],FC(F)(O*)O*,difluoro acetal
O=[C]([O-])[R],O=C([O&-])*,carboxylate
C=N[N]([R])[S](=O)(=O)[R],C=NN(*)S(=O)(=O)*,sulfonyl hydrazone
C=C[N]([R])[R],C=CN(*)*,enamine
O=C([N]([R])[R])[N]([R])[S](=O)(=O)[R],O=C(N(*)*)N(*)S(=O)(=O)*,sulfonylurea
C=CC#N,C=CC#N,acrylonitriles
O=[C]([R])C=CO,O=C(*)C=CO,unsaturated lactone
O=[C]([R])C(=O)[N]([R])[R],O=C(*)C(=O)N(*)*,oxamide
[R][O]C[S][R],*OCS*,oxathio fragment
O=C(C=N[N]([R])[R])[N]([R])[R],O=C(C=NN(*)*)N(*)*,amide hydrazone
O=C1C=CC(=O)[N]1[R],O=C1C=CC(=O)N1*,maleimide
C=N[N]([R])C(=O)[N]([R])[R],C=NN(*)C(=O)N(*)*,semicarbazide
C=NN=C,C=NN=C,azine
O=[C]([R])[O][Na],O=C(*)O[#11],sodium carboxylate
O=[S](=O)([R])[N]([R])C=[N][R],O=S(=O)(*)N(*)C=N*,sulfonyl amidine
C=C(C(=O)O)N(C[S][R])[C](=O)[R],C=C(C(=O)O)N(CS*)C(=O)*,cephem core
O=[S](=O)([R])[N]([R])C[O][R],O=S(=O)(*)N(*)CO*,sulfonyl carbamate
O[B]([R])O[Si]([R])([R])[R],OB(*)O[#14](*)(*)*,silyl boronate
O=S1(=O)C=CC([N]([R])[R])=N1,O=S1(=O)C=CC(N(*)*)=N1,benzothiazolyl sulfonyl hydrazinyl
C=C(C(=O)[N]([R])[R])[N]([R])[C](=O)[R],C=C(C(=O)N(*)*)N(*)C(=O)*,acrylamide enamide alkene
O=[S]([R])([R])=[N][R],O=S(*)(*)=N*,sulfonimidoyl
O=[C]1[R][N]([R])C[N]1[R],O=C1*N(*)CN1*,diazolidinone
ON=C[N]([R])[R],ON=CN(*)*,n-hydroxyamidine
O=[C]([R])[N]([R])S(=O)(=O)[N]([R])[R],O=C(*)N(*)S(=O)(=O)N(*)*,sulfonylurea core
C=C[O][R],C=CO*,vinyl ether
C=CC=N[N]([R])[C](=O)[R],C=CC=NN(*)C(=O)*,conjugated hydrazone carbonyl
[R][O]COC[O][R],*OCOCO*,consecutive acetal carbons
O=[C]1[R][N]([R])C(=O)N1C[N]([R])[R],O=C1*N(*)C(=O)N1CN(*)*,n-methyl tertiary amine substituted imide
O=C(C=C[O][R])[N]([R])[R],O=C(C=CO*)N(*)*,enol ether amide
O=C(C1=N[N]([R])[C](=O)[R][N]1[R])[N]([R])[R],O=C(C1=NN(*)C(=O)*N1*)N(*)*,triazole carboxamide carbonyl
