smarts,cleaned_description
"[Br,Cl,I][CX4;CH,CH2]",reactive alkyl halides
"[S,C](=[O,S])[F,Br,Cl,I]",acid halides
O=CN=[N+]=[N-],carbazides
"COS(=O)O[C,c]",sulphate esters
"COS(=O)(=O)[C,c]",sulphonates
C(=O)OC(=O),acid anhydrides
OO,peroxides
C(=O)Oc1c(F)c(F)c(F)c(F)c1(F),pentafluorophenyl esters
C(=O)Oc1ccc(N(=O)~[OX1])cc1,paranitrophenyl esters
C(=O)Onnn,esters of hobt
"N=C=[S,O]",isocyanates & isothiocyanates
OS(=O)(=O)C(F)(F)F,triflates
P(=S)(S)S,lawesson's reagent and derivatives
NP(=O)(N)N,phosphoramides
cN=[N+]=[N-],aromatic azides
"C(=O)C[N+,n+]",beta carbonyl quaternary nitrogen
[N;R0][N;R0]C(=O),acylhydrazide
"[C+,Cl+,I+,P+,S+]","quaternary c, cl, i, p or s"
C=P,phosphoranes
[Cl]C([C&R0])=N,chloramidines
[N&D2](=O),nitroso
"[P,S][Cl,Br,F,I]",p/s halides
N=C=N,carbodiimide
[N+]#[C-],isonitrile
C(=O)N(C(=O))OC(=O),triacyloximes
N#CC[OH],cyanohydrins
N#CC(=O),acyl cyanides
S(=O)(=O)C#N,sulfonyl cyanides
P(OCC)(OCC)(=O)C#N,cyanophosphonates
[N;R0]=[N;R0]C#N,azocyanamides
[N;R0]=[N;R0]CC=O,azoalkanals
[CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0],aliphatic methylene chains 7 or more long
"[C,S,P](=O)[OH].[C,S,P](=O)[OH].[C,S,P](=O)[OH].[C,S,P](=O)[OH]",compounds with 4 or more acidic groups
[O;R1][C;R1][C;R1][O;R1][C;R1][C;R1][O;R1],crown ethers
SS,disulphides
[SH],thiols
"C1[O,S,N]C1","epoxides, thioepoxides, aziridines"
c([OH])c([OH])c([OH]),"2,4,5 trihydroxyphenyl"
c([OH])c([OH])cc([OH]),"2,3,4 trihydroxyphenyl"
N=NC(=S)N,hydrazothiourea
SC#N,thiocyanate
cC[N+],benzylic quaternary nitrogen
"C[O,S;R0][C;R0](=S)",thioesters
N[CH2]C#N,cyanamides
C1(=O)OCC1,four membered lactones
P(=O)([OH])OP(=O)[OH],di and triphosphates
N1CCC1=O,betalactams
O=C1[#6]~[#6]C(=O)[#6]~[#6]1,quinones
C=CC=CC=CC=C,polyenes
O1CCCCC1OC2CCC3CCCCC3C2,saponin derivatives
O=C1NCC2CCCCC21,cytochalasin derivatives
O=C1CCCC(N1)=O,cycloheximide derivatives
O1CCCCC1C2CCCO2,monensin derivatives
[OH]c1cc([OH])cc2=[O+]C(=C([OH])Cc21)c3cc([OH])c([OH])cc3,cyanidin derivatives
C12OCCC(O1)CC2,squalestatin derivatives
"C(=O)O[C,H1].C(=O)O[C,H1].C(=O)O[C,H1]",> 2 ester groups
"n1c([F,Cl,Br,I])cccc1",2-halo pyridine
"C(=O)[Cl,Br,I,F]",acid halide
C=[C!r]O,acyclic c=c-o
N#CC(=O),acyl cyanide
C(=O)N[NH2],acyl hydrazine
[CH1](=O),aldehyde
[R0;D2][R0;D2][R0;D2][R0;D2],aliphatic long chain
"[CX4][Cl,Br,I]",alkyl halide
c1nnnn1C=O,amidotetrazole
c1cc([NH2])ccc1,aniline
[CH2R2]1N[CH2R2][CH2R2][CH2R2][CH2R2][CH2R2]1,azepane
N=[N+]=[N-],azido group
N#N,azo group
[CH2R2]1N[CH2R2][CH2R2][CH2R2][CH2R2][CH2R2][CH2R2]1,azocane
"[cR2]1[cR2][cR2]([Nv3X3,Nv4X4])[cR2][cR2][cR2]1[cR2]2[cR2][cR2][cR2]([Nv3X3,Nv4X4])[cR2][cR2]2",benzidine
"[C,c](=O)[CX4,CR0X3,O][C,c](=O)",beta-keto/anhydride
C12C(NC(N1)=O)CSC2,biotin analogue
"[C+,c+,C-,c-]",carbocation/anion
"c1c([OH])c([OH,NH2,NH])ccc1",catechol
"[O+,o+,S+,s+]",charged oxygen or sulfur atoms
"C1(=[O,N])C=CC(=[O,N])C=C1",chinone
"C1(=[O,N])C(=[O,N])C=CC=C1",chinone
C=[C!r]C#N,conjugated nitrile group
"[OR2,NR2]@[CR2]@[CR2]@[OR2,NR2]@[CR2]@[CR2]@[OR2,NR2]",crown ether
c1ccc2c(c1)ccc(=O)o2,cumarine
N[CH2]C#N,cyanamide
"[N,O,S]C#N",cyanate/aminonitrile/thiocyanate
N#CC[OH],cyanohydrins
[CR2]1[CR2][CR2][CR2][CR2][CR2][CR2]1,cycloheptane
[CR2]1[CR2][CR2]cc[CR2][CR2]1,cycloheptane
[CR2]1[CR2][CR2][CR2][CR2][CR2][CR2][CR2]1,cyclooctane
[CR2]1[CR2][CR2]cc[CR2][CR2][CR2]1,cyclooctane
"[cR2]1[cR2]c([N+0X3R0,nX3R0])c([N+0X3R0,nX3R0])[cR2][cR2]1",diaminobenzene
"[cR2]1[cR2]c([N+0X3R0,nX3R0])[cR2]c([N+0X3R0,nX3R0])[cR2]1",diaminobenzene
"[cR2]1[cR2]c([N+0X3R0,nX3R0])[cR2][cR2]c1([N+0X3R0,nX3R0])",diaminobenzene
[N!R]=[N!R],diazo group
"[C,c](=O)[C,c](=O)",diketo group
SS,disulphide
[CX2R0][NX3R0],enamine
C(=O)Onnn,ester of hobt
C1(=O)OCC1,four member lactones
"c1cc([Cl,Br,I,F])cc([Cl,Br,I,F])c1[Cl,Br,I,F]",halogenated ring
"c1ccc([Cl,Br,I,F])c([Cl,Br,I,F])c1[Cl,Br,I,F]",halogenated ring
"[Hg,Fe,As,Sb,Zn,Se,se,Te,B,Si]",heavy metal
"[NX3R0,NX4R0,OR0,SX2R0][CX4][NX3R0,NX4R0,OR0,SX2R0]",het-c-het not in ring
C1NC(=O)NC(=O)1,hydantoin
N[NH2],hydrazine
"[OH]c1ccc([OH,NH2,NH])cc1",hydroquinone
C(=O)N[OH],hydroxamic acid
C=[N!R],imine
"N=[CR0][N,n,O,S]",imine
I,iodine
N=C=O,isocyanate
"[$([CH2]),$([CH][CX4]),$(C([CX4])[CX4])]=[$([CH2]),$([CH][CX4]),$(C([CX4])[CX4])]",isolated alkene
C=C=O,ketene
S1C=CSC1=S,"methylidene-1,3-dithiole"
"C=!@CC=[O,S]",michael acceptor
"[$([CH]),$(CC)]#CC(=O)[C,c]",michael acceptor
"[$([CH]),$(CC)]#CS(=O)(=O)[C,c]",michael acceptor
C=C(C=O)C=O,michael acceptor
"[$([CH]),$(CC)]#CC(=O)O[C,c]",michael acceptor
"[NX2,nX3][OX1]",n oxide
s1c(S)nnc1NC=O,"n-acyl-2-amino-5-mercapto-1,3,4-thiadiazole"
"NC[F,Cl,Br,I]",n-c-halo
"[NX3,NX4][F,Cl,Br,I]",n-halo
n[OH],n-hydroxyl pyridine
[N+](=O)[O-],nitro group
[#7]-N=O,n-nitroso
"[C,c]=N[OH]",oxime
"[C,c]=NOC=O",oxime
"[OR0,NR0][OR0,NR0]",oxygen-nitrogen single bond
[CX4](F)(F)[CX4](F)F,perfluorinated chain
OO,peroxide
c1ccccc1OC(=O)[#6],phenol ester
c1ccccc1OC(=O)O,phenyl carbonate
P,phosphor
"[cR,CR]~C(=O)NC(=O)~[cR,CR]",phthalimide
a1aa2a3a(a1)A=AA=A3=AA=A2,polycyclic aromatic hydrocarbon
a21aa3a(aa1aaaa2)aaaa3,polycyclic aromatic hydrocarbon
a31a(a2a(aa1)aaaa2)aaaa3,polycyclic aromatic hydrocarbon
[CR0]=[CR0][CR0]=[CR0],polyene
"[s,S,c,C,n,N,o,O]~[nX3+,NX3+](~[s,S,c,C,n,N])~[s,S,c,C,n,N]",quaternary nitrogen
"[s,S,c,C,n,N,o,O]~[n+,N+](~[s,S,c,C,n,N,o,O])(~[s,S,c,C,n,N,o,O])~[s,S,c,C,n,N,o,O]",quaternary nitrogen
[*]=[N+]=[*],quaternary nitrogen
O1CCCCC1OC2CCC3CCCCC3C2,saponine derivative
"[Si][F,Cl,Br,I]",silicon halogen
c1ccccc1C=Cc2ccccc2,stilbene
"[SX3](=O)[O-,OH]",sulfinic acid
"[C,c]S(=O)(=O)O[C,c]",sulfonic acid
"S(=O)(=O)[O-,OH]",sulfonic acid
S(=O)(=O)C#N,sulfonyl cyanide
[SX2]O,sulfur oxygen single bond
OS(=O)(=O)[O-],sulphate
[SX2H0][N],sulphur-nitrogen single bond
c12ccccc1(SC(S)=N2),thiobenzothiazole
c12ccccc1(SC(=S)N2),thiobenzothiazole
"[C,c]=S",thiocarbonyl group
SC=O,thioester
[S-],thiol
[SH],thiol
"*1[O,S,N]*1",three-membered heterocycle
OS(=O)(=O)C(F)(F)F,triflate
"[SiR0,CR0](c1ccccc1)(c2ccccc2)(c3ccccc3)",triphenyl methylsilyl
C#C,triple bond
"[#7;R1]1[#6]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#7][#6][#6]1",2halo pyrazine 3ewg
"[#7;R1]1[#6]([F,Cl,Br,I])[#6;!$(c-N)][#7][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6;!$(c-N)]1",2halo pyrazine 5ewg
"[#7;R1]1[#6]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6][#6][#7]1",2halo pyridazine 3ewg
"[#7;R1]1[#6]([F,Cl,Br,I])[#6][#6][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#7]1",2halo pyridazine 5ewg
"[#7;R1]1[#6;!$(c=O)]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6;!$(c-N)][#6][#6;!$(c-N)]1",2halo pyridine 3ewg
"[#7;R1]1[#6;!$(c=O)]([F,Cl,Br,I])[#6][#6;!$(c-N)][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6;!$(c=O);!$(c-N)]1",2halo pyridine 5ewg
"[#7;R1]1[#6]([F,Cl,Br,I])[#7][#6][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6]1",2halo pyrimidine 5ewg
"[#7;R1]1[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6]([F,Cl,Br,I])[#6][#6][#7]1",3halo pyridazine 2ewg
"[#7;R1]1[#6][#6]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6][#7]1",3halo pyridazine 4ewg
"[#7,#8,#16]1~[#6;H]~[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])~[#6](=O)~[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])~[#6;H]1",4 pyridone 3 5 ewg
"[#7;R1]1[#6;!$(c=O);!$(c-N)][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6]([F,Cl,Br,I])[#6][#6;!$(c=O);!$(c-N)]1",4halo pyridine 3ewg
"[#7]1[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#7;R1][#6]([F,Cl,Br,I])[#6][#6]1([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])",4halo pyrimidine 2 6ewg
"[#7]1[#6][#7;R1][#6]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6]1",4halo pyrimidine 5ewg
"[CH2]1[O,S]C1",ch2 s#o 3 ring
"O=C(-[!N])O[$(nnn),$([#7]-[#7]=[#7])]",hobt ester
P(=O)ON,no phosphonate
[CH2]=[C;!$(C-N);!$(C-O)]C(=O),acrylate
"[#6]1~[$(C(=O)),$(S(=O))]~[O,S,N]~[$(C(=O)),$(S(=O))]1",activated 4mem ring
"C1~[O,S]~[C,N,O,S]1[a,N,O,S]",activated s#o 3 ring
"[$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))]C#[C;!$(C-N);!$(C-n)]",activated acetylene
"[N;!R]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))])=[N;!R]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))])",activated diazo
"O=COC=[$(C(S(=O)(=O))),$(C(C(F)(F)(F))),$(C(C#N)),$(C(N(=O)(=O))),$(C([N+](=O)[O-])),$(C(C(=O)));!$(C(N))]",activated vinyl ester
"O(-S(=O)(=O))C=[$(C(S(=O)(=O))),$(C(C(F)(F)(F))),$(C(C#N)),$(C(N(=O)(=O))),$(C([N+](=O)[O-])),$(C(C(=O)));!$(C(N))]",activated vinyl sulfonate
"[C,c][C;!R](=O)[N;!R][C;!R](=O)[C,c]",acyclic imide
[#7;R1]1~[#7;R1]~[#7;R1](-C(=O))~[#6]~[#6]1,acyl 123 triazole
[#7]1~[#7]~[#6]~[#7](-C(=O)[!N])~[#6]1,acyl 134 triazole
"O=C(-[!N])O[$([#7;+]),$(N(C=[O,S,N])(C=[O,S,N]))]",acyl activated no
C(=O)-C#N,acyl cyanide
"[C;!$(C-N)](=O)[#7]1[#6;H1,$([#6]([*;!R]))][#7][#6;H1,$([#6]([*;!R]))][#6;H1,$([#6]([*;!R]))]1",acyl imidazole
"[C;!$(C-N)](=O)[#7]1[#7][#6;H1,$([#6]([*;!R]))][#6;H1,$([#6]([*;!R]))][#6;H1,$([#6]([*;!R]))]1",acyl pyrazole
"[C,c][C;H1](=O)",aldehyde
C(=O)!@C(=O),alpha dicarbonyl
"[$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-])]-[CH,CH2]-[Cl,Br,I,$(O(S(=O)(=O)))]",alpha halo ewg
"[F,Cl,Br,I,$(O(S(=O)(=O)))]-[CH,CH2;!$(C(F)F)]-[N,n]",alpha halo amine
"C(=O)([CH,CH2][Cl,Br,I,$(O(S(=O)(=O)))])",alpha halo carbonyl
"[N,n,O,S;!$(S(=O)(=O))]-[CH,CH2;!$(C(F)(F))][F,Cl,Br,I,$(O(S(=O)(=O)))]",alpha halo heteroatom
"[N,n,O,S;!$(S(=O)(=O))]-C([Cl,Br,I,$(O(S(=O)(=O)))])(C)(C)",alpha halo heteroatom tert
"[$(C(=O)),$(C(=S))]-[O,S]-[$(C(=O)),$(C(=S)),$(C(=[N;!R])),$(C(=N(-[C;X4])))]",anhydride
P(=O)-[O;!R]-a,aryl phosphonate
a-[S;X2;!R]-[C;!R](=O),aryl thiocarbonyl
"[$(N#[N+]-[N-]),$([N-]=[N+]=N)]",azide
"[C,N]1~[C,N]~N~1",aziridine diazirine
[N]=[N;!R]-[N],azo amino
c[N;!R;!+]=[N;!R;!+]-c,azo aryl
[N;!R]=[N;!R]-[N]=[*],azo filter1
[N;!$(N-S(=O)(=O));!$(N-C=O)]-[N;!r3;!$(N-S(=O)(=O));!$(N-C=O)]-[N;!$(N-S(=O)(=O));!$(N-C=O)],azo filter2
[N;!R]-[N;!R]-[N;!R],azo filter3
a-N=N-[N;H2],azo filter4
"[B-,BH2,BH3,$(B(F)(F))]",bad boron
"[C+,F+,Cl+,Br+,I+,Se+]",bad cations
